DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,LOG RETURNS,Price,Signal
2021-06-30,EQ,423.0,424.9,418.3,421.5,419.0,419.2,422.01,441.95,175.5,18337773,7738632818.95,166062,SBIN,,,False
2021-06-29,EQ,427.5,428.95,420.55,426.75,421.4,421.5,423.98,441.95,175.5,22275961,9444511274.1,199410,SBIN,0.005471644435077749,,False
2021-06-28,EQ,430.7,433.15,424.55,428.8,426.45,426.75,427.91,441.95,175.5,29370660,12568132007.65,226087,SBIN,0.012378584232640044,,False
2021-06-25,EQ,421.0,431.0,419.05,417.2,428.65,428.8,426.03,441.95,175.5,29886797,12732649206.1,237815,SBIN,0.00479224808204215,,False
2021-06-24,EQ,420.35,422.75,416.3,418.85,418.25,417.2,419.42,441.95,175.5,19214547,8058956891.25,171615,SBIN,-0.027424886629974665,,False
2021-06-23,EQ,421.1,424.75,415.0,418.65,418.8,418.85,420.54,441.95,175.5,27564829,11592034058.25,219929,SBIN,0.003947137473200968,,False
2021-06-22,EQ,423.0,425.45,417.3,419.75,418.25,418.65,422.18,441.95,175.5,28442965,12008122743.65,238271,SBIN,-0.00047761194937745444,,False
2021-06-21,EQ,406.35,421.0,400.5,412.9,419.1,419.75,411.51,441.95,175.5,33128978,13632973916.95,300583,SBIN,0.0026240473072087767,,False
2021-06-18,EQ,423.9,423.9,402.65,420.25,414.5,412.9,410.77,441.95,169.25,45748727,18792431090.9,482106,SBIN,-0.016453863065605034,,False
2021-06-17,EQ,421.0,425.95,416.6,425.95,419.7,420.25,421.98,441.95,169.25,23048331,9726010019.75,218316,SBIN,0.01764433939668031,,False
2021-06-16,EQ,428.0,432.75,425.0,429.5,425.6,425.95,428.25,441.95,169.25,19701175,8436971969.0,167477,SBIN,0.013472196200124742,,False
2021-06-15,EQ,429.2,432.8,428.0,430.35,429.2,429.5,430.4,441.95,169.25,16413658,7064487784.3,162940,SBIN,0.008299772935460581,,False
2021-06-14,EQ,427.0,432.45,416.7,429.6,430.0,430.35,424.94,441.95,169.25,30106015,12793122958.95,279081,SBIN,0.001977089671172827,,False
2021-06-11,EQ,434.85,435.5,425.25,432.25,429.4,429.6,430.04,441.95,169.25,26831924,11538698028.75,211915,SBIN,-0.0017442879008280343,,False
2021-06-10,EQ,424.9,433.3,422.4,421.45,432.4,432.25,428.67,441.95,169.25,27397712,11744708248.1,211924,SBIN,0.006149581368744883,,False
2021-06-09,EQ,427.5,432.3,418.2,427.2,421.95,421.45,426.58,441.95,169.25,27784834,11852490465.3,241080,SBIN,-0.02530297811990856,,False
2021-06-08,EQ,432.25,432.5,424.0,432.25,427.4,427.2,427.47,441.95,169.25,31113823,13300300385.2,247824,SBIN,0.013551141202493788,,False
2021-06-07,EQ,435.1,437.4,430.8,433.6,431.3,432.25,434.78,441.95,169.25,20201197,8783035451.0,174837,SBIN,0.01175183691741477,,False
2021-06-04,EQ,437.5,441.9,431.75,439.65,434.3,433.6,436.25,441.95,163.35,36898769,16097084118.25,331404,SBIN,0.003118325562036617,,False
2021-06-03,EQ,437.0,441.95,433.5,437.25,439.05,439.65,437.3,441.95,163.35,38909199,17015052405.35,281959,SBIN,0.013856505699574306,,False
2021-06-02,EQ,430.8,437.95,429.15,432.55,437.2,437.25,434.97,437.95,163.35,38657806,16814912362.0,307884,SBIN,-0.005473841926299627,,False
2021-06-01,EQ,426.05,435.35,425.6,424.35,432.55,432.55,430.82,435.35,163.35,59299647,25547200109.15,442654,SBIN,-0.0108071872723281,426.1568181818182,True
2021-05-31,EQ,421.0,426.0,418.0,422.05,424.5,424.35,422.9,433.65,163.35,38291043,16193457741.0,275082,SBIN,-0.019139340210696965,426.390909090909,False
2021-05-28,EQ,430.5,433.65,420.05,425.2,422.0,422.05,426.46,433.65,150.2,65137568,27778684365.6,423239,SBIN,-0.005434795985957308,426.41590909090905,False
2021-05-27,EQ,413.7,429.1,412.0,413.55,426.8,425.2,419.8,429.1,150.2,73392997,30810699445.45,442431,SBIN,0.007435856038063626,426.34545454545446,False
2021-05-26,EQ,413.8,418.75,410.8,412.35,412.0,413.55,415.44,427.7,150.2,52357719,21751281756.7,339506,SBIN,-0.027781220329877065,425.65227272727276,False
2021-05-25,EQ,415.1,415.5,408.5,412.05,414.1,412.35,411.05,427.7,150.2,56048127,23038372268.75,348160,SBIN,-0.002905922858551513,425.4318181818182,False
2021-05-24,EQ,417.0,419.2,405.3,401.2,411.0,412.05,411.75,427.7,150.2,142964052,58865553601.7,846514,SBIN,-0.0007278020699716947,425.12272727272733,False
2021-05-21,EQ,390.0,404.4,378.0,384.55,404.0,401.2,393.52,427.7,149.45,192810772,75874786468.4,1121959,SBIN,-0.026684645121611617,424.32954545454544,False
